Product,Price
"Sistem de supraveghere 1 camera interior 8 megapixeli, 4K KIT1INT","711 , 99 Lei"
"Kit de supraveghere video de exterior, 1 camera 5 MP, IR 40 m, DVR 4 canale, Dahua, KITSAF-1X-5MP28I40","713 , 99 Lei"
"Kit de supraveghere pentru exterior, DVR, camera 5MP, IR 40 metri, wide-angle 2.8mm, KIT1EXT40M","713 , 99 Lei"
"Kit de supraveghere pentru exterior, 2 camere Safer PRO, 5MP, IR 40m, DVR 4 canale, Audio prin coaxial, SAF2XPRO-BM5MP40F28","725 , 99 Lei"
"Kit supraveghere video Full HD, DVR cu 4 camere de exterior, smart IR 40m, Hikvision, SAF-4XFHDIR40","734 , 99 Lei"
"Kit de supraveghere pentru interior, 4 camere Dome, Starlight, 2MP, LED alb 20m, DVR Safer, Audio prin HDCVI, KIT-4X-2MPD28LED20","739 , 99 Lei"
"Kit de supraveghere video, 2 camere Dome, Full Color, 5MP, Led alb 20m, DVR 4 canale, Safer KITINT-2X-5MP28I20","740 , 99 Lei"
"Kit supraveghere video cu accesorii, 4 camere interior 2MP, Safer, KIT5MPINT-SAF-I2","747 , 99 Lei"
"Kit camere supraveghere exterior profesionale, 2MP FullHD, IR 20M, DVR 4 canale, recunoastere faciala, KITDAH2MP20EXTACC","778 , 99 Lei"
"Kit supraveghere mixt complet, 4 camere FULL HD, IR 20m, KIT2E2IFHDMIXT-P-1","787 , 99 Lei"
"Kit supraveghere video Safer, 2 MP, 4 camere, IR 80m, DVR 4 canale, SAF-4XFHDIR80ACC","792 , 99 Lei"
Kit accesorii sisteme de supraveghere 8 camere,"798 , 99 Lei"
"Kit de supraveghere pentru exterior, 4 camere bullet, 2MP, LED alb 40m, DVR 4 canale, Functii AI, Accesorii incluse, KITSAF4X-2MP2028UACC","805 , 99 Lei"
"Kit de supraveghere video Full HD, ColorVu LED 20 de metri, 2.8mm, Microfon si DVR4 canale, Hikvision SAF-2XFHDIR40ACC","810 , 99 Lei"
"Sistem de supraveghere 4 camere dome de 8MP, IR 20m, KIT4INT5MPX-1","813 , 99 Lei"
"Kit de supraveghere pentru exterior, 5MP, 2.8mm, IR 40m, DVR 4 canale, Safer KITSAF4X-BP8MP80F28-A","821 , 99 Lei"
"Kit de supraveghere Full HD, 2.8mm, Iluminare Duala 30m, Audio, PoE, NVR 4 canale, Safer SAF-KITIPC2INTP2K","826 , 99 Lei"
"Kit de supraveghere pentru exterior, 2 camere bullet, 2MP, DVR 4 canale, Alimentator, HDD inclus, Dahua KITSAF2X-2MP2028U-HDD","826 , 99 Lei"
"Kit de supraveghere video, 4 camere 5 MP, IR 20 m, DVR 4 canale, accesorii incluse, Safer, KITSAF4X-5MP2028UACC","831 , 99 Lei"
"Kit supraveghere video complet cu 4 camere interior 2MP Safer, DVR 4 canale, Dahua KIT5MPINT-DAH-1","841 , 99 Lei"
"Kit supraveghere video pentru exterior, 2MP, IR 20m, lentila 3.6mm, Dahua KIT-DAH-2MP-30-I3-ACC","841 , 99 Lei"
"Kit de supraveghere pentru exterior, 2 camere bullet, Starlight, 5MP, DVR 4 canale, Functii AI, Accesorii incluse, Safer KITSAF2X-5MP80F36-A-ACC","846 , 99 Lei"
"Kit cu accesorii, 2 camere exterior, Full HD, cu toate accesoriile","847 , 99 Lei"
"Kit supraveghere video, 4 camere de exterior, lentila 2.8mm, IR 30 Metri, Hikvision, KIT4FHDEXT-HIKP-1","850 , 99 Lei"
Pack 20 senzori de miscare Crow SWANQUAD,"851 , 99 Lei"
"Kit de supraveghere pentru exterior, 2 camere 8MP, IR 40m si DVR 4 canale, Dahua KITSAF2X-5MP80F36-A","851 , 99 Lei"
"Kit supraveghere video Safer, 2 camere, 5 MP, IR 40m, DVR 4 canale, 4K, SAF-2X5MPIR40ACC","857 , 99 Lei"
"Kit de supraveghere pentru exterior, 4 camere 5 MP, IR 40m, DVR 4 canale, KIT5MP4028","864 , 99 Lei"
"Kit de supraveghere cu 4 camere Full HD Safer, IR 30m, DVR si accesorii pentru instalare, SAF-4XFHDIR40ACC","866 , 99 Lei"
"Kit de supraveghere pentru exterior, 2 camere Starlight, 5MP, DVR 4 canale, Accesorii incluse, Safer KITSAF-2X-5MPL40-ACC","867 , 99 Lei"
"Kit supraveghere video Full HD, DVR cu 4 camere tip bullet, smart IR 40m, 3.6 mm, Dahua KIT4EXT30IRDAH","872 , 99 Lei"
"Kit de supraveghere mixt, Full HD, 2MP, IR 20m, DVR 8 canale, Functii AI, Safer KITSAF8X-BP2MP20F28-A","880 , 99 Lei"
"Kit supraveghere video, DVR Full HD, cu 2 camere tip bullet, smart IR 40m, Hikvision SAF-2XFHDIR40ACC-1TB","882 , 99 Lei"
"Kit camere supraveghere interior profesionale, 4 camere Dahua Full HD, aceesorii incluse, KITFULL4X1200M-1","885 , 99 Lei"
"Kit complet supraveghere video SAFER, 2 Camere 2 MP FULL HD, IR 30 m, HDD 1TB, DVR 4 canale FULL HD, SAF-2XFHDIR40ACC-1TB","888 , 99 Lei"
"Kit de supraveghere video de exterior, 4 camere 5 MP, IR 40 m, DVR 4 canale, Safer KITSAF-4X-5MP28I40","890 , 99 Lei"
"Camera wireless cu panou solar Ezviz CS-HB8+SP, 4.2W, Acumulator 10400 mAh, 32GB eMMC, MicroSD, Bidirectionala","899 , 99 Lei"
"Kit camere supraveghere interior profesionale, 4 camere, Full HD, DVR 4 canale si Hard Disk (HDD) 1TB, Hikvision HW-KIT-4X-T-20FHD-1TB","904 , 99 Lei"
"Kit camere supraveghere exterior profesionale, 4 camere Full HD, Inregistrare audio, DVR 4 canale, Dahua KIT-4X-2MP28LED20-ACC","905 , 99 Lei"
"Kit supraveghere complet, 4 camere Full HD, DVR 4 canale cu AI, HDD, - GATA DE INSTALARE, KITSAF2MPSAF-M-1TB","915 , 99 Lei"
"Kit complet supraveghere video, 4 Camere 2 MP, IR 20 m, HDD 1TB, DVR 4 canale Safer KIT-DAH-4x2MP30I3-COMPLET","915 , 99 Lei"
"Kit de supraveghere 8 camere exterior 2MP, IR 20 metri si DVR 8 canale, Dahua XVR8X2MP","919 , 99 Lei"
"Kit supraveghere video, 8 camere FULL HD, lentila 2.8mm + DVR Dahua 8 canale","919 , 99 Lei"
"Kit supraveghere video 2 camere, complet, FULL HD, IR 20m, 1 x HDD, SAF2E22-1TB-SHQ-DH","932 , 99 Lei"
"Sistem de supraveghere exterior 4 camere 5MP, IR 80 metri, lentila 3.6mm, Microfon, Safer KIT4EXT80IR","932 , 99 Lei"
"Kit de supraveghere pentru exterior, 4 camere Bullet, Starlight, 5MP, DVR 4 canale, Functii AI, KITSAF-4X-5MPL40","932 , 99 Lei"
"Kit supraveghere mixt cu accesorii, 4 camere FULL HD, IR la 40m KIT4FHDMIXT-M","934 , 99 Lei"
"Sistem supraveghere mixt 4 camere, Full HD, cu DVR 4 canale, KIT4MIXTSAF","937 , 99 Lei"
"Kit supraveghere video, DVR cu 4 camere bullet, smart IR 40m, Hikvision, SAF-4XFHDIR40ACC","945 , 99 Lei"
"Sistem supraveghere 4 camere mixt, rezolutie 5MP, IR 40 metri, DVR Dahua","950 , 99 Lei"
"Kituri de supraveghere pentru exterior, 8 camere bullet, 2MP, LED cu lumina alba 40m, Audio prin HDCVI, DVR 4 canale, Functii AI, Safer KITSAF8X-2MP2028-LED(U)","950 , 99 Lei"
"Kit 4 camere exterior FULL HD, IR 60m, lentila 2.8 mm, Microfon, KITFHD80DAHUAST-20A","959 , 99 Lei"
"Kit de supraveghere pentru exterior, 4 camere Safer PRO, 5MP, IR 40m, DVR 4 canale, Audio prin coaxial, SAF4XPRO-BM5MP40F28","963 , 99 Lei"
"Kit de supraveghere, 4 camere exterior 5MP, 2.8mm, IR 40 metri si DVR 4 canale, Hikvision KITHIK4X-5MP4028","963 , 99 Lei"
"Kit camere supraveghere exterior profesionale cu 4 camere, Full HD, DVR 4 canale si Hard Disk (HDD) 1TB, Hikvision HW-KIT-4X-B-20FHD-1TB","963 , 99 Lei"
"Sistem supraveghere, 4 camere dome, 2.8 mm, Full HD, microfon incorporat, KIT4DOMEFHDMTL","971 , 99 Lei"
"Kit supraveghere FULL HD, 4 camere cu microfon, lentila 2.8mm, IR 30 M, Hikvision","971 , 99 Lei"
"Kit de supraveghere pentru interior cu accesorii, 4 camere de interior, Full Color, 2K, Iluminare cu LED 20m, Safer KITDH-4X5MPACC-I3","977 , 99 Lei"
"Kit de supraveghere video pentru exterior, 4 camere, 2 MP, IR 80 m, Safer, NVR 4 canale, HDD 2 TB, Hikvision, KITSAF4X-PRO-5MP8036HDD","978 , 99 Lei"
"Kit supraveghere video, 4 camere de exterior, lentila 2.8mm, IR 20 Metri, Hikvision","983 , 99 Lei"
"Kit de supraveghere video IP de exterior, 2 camere 4 MP, IR 20 m, NVR 4 canale, Safer, KITIP-2X-4MP420","985 , 99 Lei"
Pack 20 senzori de miscare Optex RXC-ST,"989 , 99 Lei"
"Kit supraveghere 4 camere Full HD + DVR 4 canale si accesorii, DAHUA, KITDH2MPDAHUA","1008 , 99 Lei"
"Kit de supraveghere video de exterior, 4 camere 5 MP, IR 40 m, DVR 4 canale, accesorii incluse, Safer, KITSAF-4X-5MP28I40ACC","1011 , 99 Lei"
"Kit supraveghere video Safer, 2 MP, 4 camere, IR 80m, DVR 4 canale, HDD 1 TB, SAF-4XFHDIR80ACC-1TB","1020 , 99 Lei"
"Sistem de supraveghere Dahua cu 4 camere de exterior Full HD, 3.6 mm, Full Color cu LED alb 40m, Audio, DVR 4 canale WizSense, KIT4E22-DAH","1022 , 99 Lei"
"Kit de supraveghere Hikvision 5MP 2K, 4 camere Safer din metal, accesorii incluse, KIT-4XSAF+HIK5MP-ACC","1024 , 99 Lei"
"Kit complet de supraveghere pentru exterior, 4 camere Bullet, 2MP, LED alb 40m, DVR 4 canale, Functii AI, KITSAF4X2MP20F28-ACCHDD","1042 , 99 Lei"
"Kit de supraveghere pentru interior, 4 camere Dome, 8MP, IR 20m, DVR, 4 canale, Functii AI, Dahua KITINT-4X-5MP28I20","1051 , 99 Lei"
"Kit mixt de supraveghere video, 4 camere 5 MP, IR 20 m, DVR 4 canale, HDD 2 TB, Safer, KITSAF4X-5MP2028UMX","1053 , 99 Lei"
"Kit de supraveghere video, 8 camere 5 MP, IR 20 m, DVR 8 canale, Safer, KITSAF8X-5MP2028U","1058 , 99 Lei"
"Kit de supraveghere pentru exterior, o camera bullet, 5MP, starlight, DVR 4 canale, Hard Disk 2TB, Dahua KITSAF-1X-5MP28L40-HDD","1066 , 99 Lei"
"Sistem de supraveghere video 4 camere de exterior 4K, IR 20m, DVR 4 canale Dahua KITSAF-4X-8MP28I20","1079 , 99 Lei"
"Kit supraveghere video, DVR cu 4 camera bullet, smart IR 30m, Dahua KITDAH-5MPIR3028-XVRI3","1083 , 99 Lei"
"Kit complet 2 camere supraveghere video pentru exterior, 2K 5MP, 3.6mm, IR80m, Audio, Functii AI, KIT2EFHD-TW","1084 , 99 Lei"
"Kit supraveghere video 2 camere, complet, FULL HD, IR 80m, 1 x HDD, SAF-2EXTFHDIR30-1-TW","1085 , 99 Lei"
"Kit complet 4 camere de exterior, FullHD, 80m IR, Hikvision KIT4HIKFHD80-S-1","1087 , 99 Lei"
"Kit supraveghere video, rezolutie 2 MP Full HD, 4 camere exterior, lentila 2.8mm, IR 20 M, Hikvision KIT4EXT2K40IR-HIKP","1102 , 99 Lei"
"Sistem de supraveghere 4 camere exterior 5MP 2K, 3.6mm, IR 80m, DVR 4 canale Hikvision KITHIK-4X-5MP36IR80","1105 , 99 Lei"
"Kit supraveghere complet, 4 camere Full HD, Audio, Stocare 1 TB, AI, GATA DE INSTALARE, KITSAF2MPEXT-P-TW","1106 , 99 Lei"
"Kit complet supraveghere interior 2 camere Full HD, SAF2INT22-1TB-SHQ-CC-TW","1117 , 99 Lei"
"Kit de supraveghere pentru exterior, 2MP, IR 80m, 4 camere si DVR, DAHUA, KITDAH2MP80EXTACC","1118 , 99 Lei"
"Kit complet de supraveghere video Safer, 2 MP Full HD, 4 camere, IR 80m, DVR 4 canale, HDD 1 TB, SAF-4XFHDIR40ACHQ-1TB","1119 , 99 Lei"
"Kit supraveghere video complet cu 8 camere exterior 2MP Safer, Dvr Safer KIT2MPEXT-SAF-ACC","1119 , 99 Lei"
"Kit de supraveghere video complet, FULL HD, IR 25 metri, lentila 2.8mm, DAHUA, GATA DE INSTALARE! DH-4I22-1TB-SHQ-TW","1122 , 99 Lei"
"Kit supraveghere video Safer COMPLET, 2 camere, 5 MP, IR 40m, DVR 4 canale, 4K, HDD 1TB, SAF-2X5MPIR40ACC-1TB","1133 , 99 Lei"
"Kit de supraveghere pentru exterior, 4 camere Bullet, 5MP, DVR 4 canale, Functii AI, Accesorii incluse, Safer KITSAF4X-5MP80F36-A-ACC","1143 , 99 Lei"
"Kit de supraveghere video mixt, 2 camere dome si 2 camere bullet, 5MP, DVR 4 canale, Accesorii incluse, KITMIX-2X-B5MP+2XD5MP-ACC","1155 , 99 Lei"
"Kit 4 camere de exterior, FullHD, 80m IR, Hikvision, HIK-4E28-1TB-SHQ-CC","1171 , 99 Lei"
"Kit de supraveghere 8 camere exterior 2MP, LED alb 40 metri si XVR 8 canale, Dahua XVR8X2MP-LED","1173 , 99 Lei"
"Kit supraveghere video Safer, 4 camere, 5 MP, IR 40m, DVR 4 canale, 4K, SAF-4X5MPIR40ACC","1174 , 99 Lei"
"Kit supraveghere complet, 4 camere Full HD, IR 60 metri, microfon incorporat, DAHUA, DH-4X1200EMP-A-2TB-1","1182 , 99 Lei"
"Kit supraveghere video Full HD complet, DVR cu 4 camere bullet, smart IR 40m, Hikvision, SAF-4XFHDIR40ACC-1TBW","1183 , 99 Lei"
"Kit supraveghere video complet, FULL HD, IR 20 metri, 1 x HDD, DAHUA, DH-4E22-1TB-SHQ-CC","1194 , 99 Lei"
"Kit camere supraveghere exterior profesionale 4 camere IR 80M, lentila 3.6 mm, DVR WizSense, Dahua KIT-DAH-1080-80-I3","1200 , 99 Lei"
"Sistem 4 camere exterior IR 80M, lentila 3.6 mm, DVR 4 canale, WizSense, Dahua DH2MPSAF-P","1200 , 99 Lei"
"Kit supraveghere video complet cu 4 camere exterior 2MP, IR60m, accesorii si HDD 1TB, SAF-4E52-1TB-S-C","1206 , 99 Lei"
"Kit de supraveghere de baza, cu 4 camere de 5MP si DVR cu recunoastere faciala sau detectare miscare cu AI, Audio, Dahua KIT-5MP30-I3","1209 , 99 Lei"
"Kit de supraveghere 8 camere exterior 2MP, IR 20 metri, XVR 8 canale, Accesorii si Hard Disk 2TB, Dahua XVR8X2MP-ACC-HDD","1216 , 99 Lei"
"Kit camere supraveghere exterior profesionale, 2MP Full HD, Conexiune Wireless, 4 camere Imou, IR 30m, Microfon, MicroSD, NVR, HDD 1TB, KIT/NVR1104HSS2-CE-1T","1218 , 99 Lei"
"Kit supraveghere video cu accesorii, FULL HD, 3.6 mm, LED 40 metri, DAHUA, DH-4XB1A21-1TB","1233 , 99 Lei"
"Kit de supraveghere video cu accesorii, 4 camere de 5MP Safer, IR 80m, DVR cu AI, Microfon, KITDAH5MP80STAR-EXTACC","1234 , 99 Lei"
"Kit de supraveghere IP de interior, 4 camere 2 MP, IR 30 m, NVR 4 canale, HDD (Hard Disk inclus), Hikvision HW-KIT-4X-IP-1TB","1235 , 99 Lei"
"Kit supraveghere video, DVR, 4 camere exterior, 5MP, lentila 3.6mm, IR 80 metri, Dahua, KITDAH5MP40EXT","1245 , 99 Lei"
"Kit supraveghere video mixt Full HD, Zoom motorizat 5X + accesorii incluse KIT2MP-MIXTHDD-HQ","1259 , 99 Lei"
"Kit supraveghere video Safer, 4 camere, 5 MP, IR 80m, DVR 4 canale, SAF-4X5MPIR80ACC","1260 , 99 Lei"
"Kit video cu 4 camere Safer de exterior 5MP, IR 40m DVR Dahua, accesorii incluse, KIT5MPEXT40-DAH-I2-TW","1270 , 99 Lei"
"Kit 4 camere de exterior, 5MP, 3.6mm, Iluminare duala 40m si DVR 4 canale, 8MP, Dahua, KIT4INT30IRDAH","1273 , 99 Lei"
"Kit de supraveghere video IP, 4 camere 2 MP, LED alb 30 m, NVR 4x PoE, Safer, KITIP-4X-2MP2830-1","1282 , 99 Lei"
"Kit de supraveghere IP simplu pentru interior, 4 camere IP Safer, 4MP, IR 30m, PoE si NVR, KIT4IPSAFERINT","1282 , 99 Lei"
"Kit de supraveghere pentru interior, 4 camere Dome, Starlight, DVR 4 canale, functii AI, Hard disk 2 TB, Accesorii incluse, KITINT-4X-5MP28I20-ACC-HDD","1292 , 99 Lei"
"Kit supraveghere video cu accesorii, DVR cu 4 camera Bullet, smart IR 30m, Dahua KIT-ACC-4CAM-I3","1294 , 99 Lei"
"Kit complet de supraveghere exterior, 4 camere 2MP, infrarosu 30M, lentila 2.8mm, Dahua KIT4X2MPEXT80-SAF-I2","1306 , 99 Lei"
"Kit de supraveghere 8 camere exterior 2MP, LED alb 20 metri, XVR 8 canale, Accesorii si Hard Disk 2TB, Dahua XVR8X2MP-LED-ACC-HDD","1311 , 99 Lei"
"Kit supraveghere video COMPLET, 2 MP Full HD, IR 20m, 2 Terabyte stocare, GATA DE INSTALARE","1314 , 99 Lei"
"Kit complet cu 4 camere de exterior, Full HD, 3.6mm, IR 80m, DVR 4 canale, Hikvision KIT4HIKFHD80","1317 , 99 Lei"
"Kit de supraveghere video, 4 camere FullHD, DVR 4 canale, vedere nocurna IR 40 m, Dahua, KIT-4C2M40-XVR-ACC-DAH","1327 , 99 Lei"
"Kit camere supraveghere exterior profesionale, DVR cu 8 camere tip bullet, smart IR 30m, Dahua KIT8EXT30IRDAH","1331 , 99 Lei"
"Kit de supraveghere cu accesorii, 4 camere exterior 5MP, 2.8mm, IR 40 metri si DVR 4 canale, Hikvision KITHIK4X-5MP4028-ACC","1332 , 99 Lei"
"Sistem de supraveghere 4 camere exterior, Iluminare duala 40m, Lentila 2.8 mm, Audio, DVR 4 canale, Accesorii incluse KITSAF-4X-5MP28IL40ACC","1333 , 99 Lei"
"Kit supraveghere video, DVR cu 8 camere tip bullet, smart IR 40m, SAFER, SAF-8XFHDIR40","1334 , 99 Lei"
"5 ROLE X Cablu coaxial CUPRU RG6 + 2X0,75 alimentare 100M Safer","1336 , 99 Lei"
"Kit supraveghere video complet, Wireless, 4 camere Imou Full Color, LED 30 m, Microfon si difuzor, Sirena, NVR, HDD 1TB","1338 , 99 Lei"
"Kit supraveghere video complet cu 4 camere exterior 5MP, IR 40m, accesorii si HDD 2TB, SAF-4E52-2TB","1339 , 99 Lei"
"Kit supraveghere video, 8 camere exterior, 2MP, IR 20 m, Dahua","1341 , 99 Lei"
"Kit complet 2 camere supraveghere video 5MP exterior, KITFULL2X5MP80M-TW","1353 , 99 Lei"
Kit supraveghere IP Safer 4 camere exterior 2 MP PoE SAF-KITIPC4EXTP-1,"1353 , 99 Lei"
"Kit de supraveghere complet cu 4 camere pentru exterior, 2K 5MP, DVR 4 canale si Hard Disk (HDD) 1TB, Hikvision HKW-KIT-4X-B-205MP-1TB","1354 , 99 Lei"
"Kit supraveghere video complet, 4 camere Dahua, Full HD, 3.6mm, IR 80 metri 4XDAHFHDIR40-S","1356 , 99 Lei"
"Sistem supraveghere 4 camere exterior 5MP Iluminare duala LED si IR 40m, Audio, DVR cu functii AI, Dahua KIT4CAM2KDH","1360 , 99 Lei"
"Sistem 4 camere exterior Iluminare duala 40m, Lentila 2.8 mm, Audio, DVR 4 canale Dahua KITSAF-4X-5MP28IL40","1360 , 99 Lei"
"Kit de supraveghere video IP de exterior, 4 camere 2 MP, IR 30 m, NVR 4x PoE, Safer, KITIP-4X-2MP2830POE-2","1361 , 99 Lei"
"Kit supraveghere video Safer, 4 camere, 2MP Full HD, NVR 4 canale, SAF-4X2MPLED-POE","1361 , 99 Lei"
"Kit de supraveghere video IP de exterior, 4 camere 2 MP, IR 30 m, NVR 4 canale, Safer, KITIP-4X-2MP2830","1361 , 99 Lei"
"Kit de supraveghere video, 4 camere 5 MP, IR 20 m, DVR 4 canale, accesorii incluse, HDD 2TB Dahua, KITSAF4X-5MP2028UHDD","1376 , 99 Lei"
"Sistem supraveghere IP cu 4 camere de exterior, 2 MP, PoE, IR 30m, Dahua, KIT4IPEXT2MP","1378 , 99 Lei"
"Kit de supraveghere video, 4 camere 2 MP, LED cu lumina alba 40 m, DVR 4 canale, accesorii incluse, HDD 1TB, Dahua KIT-4X-2MP28LED20-ACC","1380 , 99 Lei"
"kit supraveghere video, 4 camere 5 MP, IR 30 m , DVR 4 canale, Dahua, KIT-4C5M30-XVR-ACC-DAH","1381 , 99 Lei"
"Sistem de supraveghere 4 camere exterior, 2.8mm, IR 20m, DVR 4 canale, HDD 2TB Dahua KITSAF-4X-8MP28I20-HDD","1385 , 99 Lei"
